project,callsite,bug type (SStuBs),bug realted message in commit,dataset,issue creater role,issue tag,issue/pull request url,fix commit url
junit-team/junit4,Class.forName(),OVERLOAD_METHOD_MORE_ARGS,Fix for #359,ManySStuBs4J,Contributor,bug/nonregression,https://github.com/junit-team/junit4/issues/359,https://github.com/junit-team/junit4/commit/b1068dc55c95d1000e07b71d3a9d9a2fd26bfff9
jitsi/jitsi,Class.forName(),OVERLOAD_METHOD_MORE_ARGS,Fixes Android system activity manager.,ManySStuBs4J,NA,NA,NA,https://github.com/jitsi/jitsi/commit/dd1cfaa691d5f9cbbb1bbcb6ce6435862959d243
cucumber/cucumber-jvm,Class.forName(),OVERLOAD_METHOD_MORE_ARGS,This mirrors JavaBackend's behavior when an explicit ClassLoader reference is not provided.,ManySStuBs4J,Member,NA,https://github.com/cucumber/cucumber-jvm/issues/1036,https://github.com/cucumber/cucumber-jvm/commit/44222d8bd493110bbf925c97d68abf40e0a1b31f
eclipse/jetty.project,Class.forName(),OVERLOAD_METHOD_MORE_ARGS,Fix classloading of WebSocketServerFactory for osgi.,ManySStuBs4J,Member,Enhancement,https://github.com/eclipse/jetty.project/issues/1124,https://github.com/eclipse/jetty.project/commit/936fd09a184338f46bcae6cf1c714a526566f618 
apache/tomcat,Class.forName(),SWAP_BOOLEAN_LITERAL,Don't initialize classes during compilation,ManySStuBs4J,user,NA,https://bz.apache.org/bugzilla/show_bug.cgi?id=50895,https://github.com/apache/tomcat/commit/5d6121202816be242ba107d5046486391e1364d6
Netflix/archaius,Class.forName(),CHANGE_IDENTIFIER,Fix bug that was trying to incorrectly trying to load class name from va..,ManySStuBs4J,Contributor,NA,https://github.com/Netflix/archaius/pull/123,https://github.com/Netflix/archaius/commit/b5da45ab81ed33a0c4628d25c18dadb39389f7bd
kiegroup/drools,Class.forName(),OVERLOAD_METHOD_MORE_ARGS,Validate variable type when set,ManySStuBs4J,user,Enhancement,https://bugzilla.redhat.com/show_bug.cgi?id=1171853,https://github.com/kiegroup/drools/commit/794bf4ce6f471e0d632753eb4b36bfa1e381a97e
aosp-mirror/platform_frameworks_base,Class.forName(),OVERLOAD_METHOD_MORE_ARGS,Use the three-argument version of Class.forName. This saves an expensive stack lookup for the caller's class-loader on each invocation.,ManySStuBs4J,NA,NA,NA,extended
jboss-javassist/javassist,Class.forName(),OVERLOAD_METHOD_MORE_ARGS,This caused random failures a little time after startup. Reported now so that when we upgrade javassist for JDK9 then we would not have to fork this class.,ManySStuBs4J,Member,NA,https://github.com/jboss-javassist/javassist/pull/130,https://github.com/jboss-javassist/javassist/commit/3cad4223928911c73afd83350238a25c7c027348
apache/flink,Class.forName(),SWAP_BOOLEAN_LITERAL,"[hotfix] [core] Do not initialize serializer snapshot class when load… …ing it This lets errors during static initialization happen not in the deserialization stack, but upon use of the class later, which is often a bit easier to understand.",ManySStuBs4J,NA,NA,NA,https://github.com/apache/flink/commit/2f9d955099f62c12ced65ab9f9cc6ca39a62f469
